Category,Name,Address,ID
براءة اختراع وعلامات تجارية وملكية فكرية,النخبة للمحاماة والاستشارات القانونية,"390 برج العمراوى ش جمال عبد الناصر, المندرة البحرية, الاسكندرية.",694559
براءة اختراع وعلامات تجارية وملكية فكرية,كى واى للملكية الفكرية وتسجيل العلامات التجارية,"فيلا 193, التجمع الخامس, القاهرة الجديدة, القاهرة.",671027
براءة اختراع وعلامات تجارية وملكية فكرية,ابو غزالة للملكية الفكرية - اى جى اى بى,"كم 28 - طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة.",6703
براءة اختراع وعلامات تجارية وملكية فكرية,اجرو كنسالت,"1095 كورنيش النيل, جاردن سيتى, القاهرة.",57739
براءة اختراع وعلامات تجارية وملكية فكرية,اكاديمية الترجمة العلمية,"25 أ عمارات العبور - , مدينة نصر, القاهرة.",90896
براءة اختراع وعلامات تجارية وملكية فكرية,اكاديمية التعلم الالكترونى,"2 ش الاشول متفرع من ش الهرم, مشعل, الهرم, الجيزة.",614008
براءة اختراع وعلامات تجارية وملكية فكرية,الريفى تريد مارك,", ابراج عزيز ميخائيل - برج 1, الحى السابع, السادس من اكتوبر, الجيزة.",474782
براءة اختراع وعلامات تجارية وملكية فكرية,الشرق الاوسط,"ش مسجد الازهر, الجامعة, الفيوم.",293725
براءة اختراع وعلامات تجارية وملكية فكرية,المؤسسة العربية للعلوم والثقافة,"33 ش هارون متفرع من ش التحرير - الدور 3 شقة 302, الدقى, الجيزة.",385208
براءة اختراع وعلامات تجارية وملكية فكرية,المجموعة الدولية لحلول الملكية الفكرية - اى جيبس,"28 ش ذاكر حسين - الدور 9, الحى السابع, مدينة نصر, القاهرة.",405043
براءة اختراع وعلامات تجارية وملكية فكرية,المحروقى للتجارة,"57 ش النحاس, طنطا, الغربية.",152081
براءة اختراع وعلامات تجارية وملكية فكرية,المركز المصرى للملكية الفكرية وتكنولوجيا المعلومات,"39 ش اسماء فهمى متفرع من ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",545551
براءة اختراع وعلامات تجارية وملكية فكرية,المصرى للملكية الصناعية,"27 ش المساحة, الدقى, الجيزة.",18253
