Category,Name,Address,ID
بصريات اخصائيون,احمد ابو ضيف,"2 ش التبان, عابدين, القاهرة.",374040
بصريات اخصائيون,الديب,"ش الاسعاف, السنطة, الغربية.",349566
بصريات اخصائيون,الراعى,"32 ش التبان, عابدين, القاهرة.",374087
بصريات اخصائيون,الصفا للنظارات الطبية,"ش بورسعيد تقاطع طريق طنطا المنصورة, السنطة, الغربية.",349286
بصريات اخصائيون,الفنان,"5 ش العلوة, عابدين, القاهرة.",374425
بصريات اخصائيون,المركز الاستشارى للعيون وجراحات الشبكية والليزر - د. احمد لبيب,"القطعة 82 ش اخناتون, الحى الاول, التجمع الخامس, القاهرة الجديدة, القاهرة.",358465
بصريات اخصائيون,بسملة,"9 ش مشتهور, عابدين, القاهرة.",374055
بصريات اخصائيون,بصريات البركات,"ش الجلاء البحرى, شبين الكوم, المنوفية.",322933
بصريات اخصائيون,بصريات امل,"ش الاصلاح الزراعى, شربين, الدقهلية.",356745
بصريات اخصائيون,بصريات سندس,"60 ش جسر السويس, سراى القبة, القاهرة.",660402
بصريات اخصائيون,د .زياد الحجر,"23 ش مؤسسة الزكاة, المرج, القاهرة.",662962
بصريات اخصائيون,د .كريم ابو العز,"23 ش مؤسسة الزكاة, المرج, القاهرة.",662963
بصريات اخصائيون,د. اجلال محمد السعيد,"ش السكة الجديدة متفرع من ش بنك مصر, المنصورة, الدقهلية.",274718
بصريات اخصائيون,د. انس الصباح لجراحة العيون والليزك,"1 ميدان روكسى - الدور 3, روكسى, مصر الجديدة, القاهرة.",586643
بصريات اخصائيون,د. ثروت حسنين مقبل احمد,"ش السكة الجديدة, المنصورة, الدقهلية.",274716
بصريات اخصائيون,د. رؤوف النفيس,"ش السكة الجديدة, المنصورة, الدقهلية.",274715
بصريات اخصائيون,د. رانيا العيسوى,"92 ش التحرير, الدور 7, برج ساريدار الادارى, الدقى, الجيزة.",271835
بصريات اخصائيون,د. سميح احمد اسماعيل,"1 ش المنشية متفرع من ش فيصل, الطوابق, فيصل, الجيزة.",487719
بصريات اخصائيون,د. عصام ابو اليزيد,"2 ش مسجد النور المحمدى, المرج, القاهرة.",482152
بصريات اخصائيون,د. عصام عبد الحميد بدور,"ش عبد السلام عارف, المنصورة, الدقهلية.",274713
بصريات اخصائيون,د. عمرو حسن حمدى,"1 ش كعبيش متفرع من ش فيصل, الطوابق, فيصل, الجيزة.",487846
بصريات اخصائيون,د. محمد احمد حشمت,"28 ش عدلى, وسط البلد, القاهرة.",272697
بصريات اخصائيون,د. محمد احمد خلف,"ش السكة الجديدة, المنصورة, الدقهلية.",274711
بصريات اخصائيون,د. محمد صفوت عبد الرازق ابراهيم,"ش بورسعيد, المنصورة, الدقهلية.",274710
بصريات اخصائيون,د. محمد هانى عبد الحليم ابراهيم,"125 ش الازهر, الازهر, القاهرة.",272695
بصريات اخصائيون,د. محمود محمد محمود عبد المجيد,"16 ش شريف, باب اللوق, القاهرة.",272698
بصريات اخصائيون,د. مروة احمد بدوى,"6 ش الاميرة فريال, العياط, الجيزة.",613422
بصريات اخصائيون,د. مصطفى حسنين حسنى صالح,"40 ش السودان, الدقى, الجيزة.",272702
بصريات اخصائيون,د. نهال ماهر سامى محمود,"19 ش وزارة الزراعة, الدقى, الجيزة.",272705
بصريات اخصائيون,د. هشام ابراهيم السروجى,"ش حسين بك, المنصورة, الدقهلية.",274708
بصريات اخصائيون,د. يسرى على حسين زيادة,"ش بورسعيد, المنصورة, الدقهلية.",274720
بصريات اخصائيون,عاطف شربات,"5 ش الشيخ فرج, عابدين, القاهرة.",374430
بصريات اخصائيون,عمر,"1 ش محمد محمود, باب اللوق, القاهرة.",375071
بصريات اخصائيون,عيادة د. حازم سليمان لطب وجراحة العيون,", ميدان المطافئ, برج ايوب بركة, السيوف شماعة, الاسكندرية.",470376
بصريات اخصائيون,عيادة د.عمرو صالح جلال موسى,"49 ش فريد سميكة, ميدان الحجاز, ميدان الحجاز, مصر الجديدة, القاهرة.",638034
بصريات اخصائيون,فوكاس,"187 ش التحرير, باب اللوق, القاهرة.",375047
بصريات اخصائيون,محمد فهمى,"3 ش التبان, عابدين, القاهرة.",374032
بصريات اخصائيون,مراكز الدلتا للعيون والليزك - د. سامح فودة,"ش جسر النيل, ميت غمر, الدقهلية.",564815
بصريات اخصائيون,مراكز د. عماد حمدى للعيون والليزك,"الحى الثالث, الشيخ زايد, السادس من اكتوبر, الجيزة.",512796
بصريات اخصائيون,مراكز د. عمرو حسن لجراحات العيون,"54 ش جامعة الدول العربية، تقاطع ش البطل احمد عبد العزيز الدور 11, المهندسين, الجيزة.",557613
بصريات اخصائيون,مراكز ليزر العيون,"ميدان القومية - برج زلط - الدور 3, الزقازيق, الشرقية.",564805
بصريات اخصائيون,مركز العبور للليزك والعيون,"محلية 5 - محور السادات - الحى الاول, مدينة العبور, القليوبية.",564828
بصريات اخصائيون,مركز القاهرة لتصحيح الابصار بالليزك,"2 ش دمشق متفرع من ميدان سوارس, سرايات المعادى, المعادى, القاهرة.",489971
بصريات اخصائيون,مركز سيناء لليزك - اس ال سى,"طريق السلام - رأس كينيدى - القطعة العاشرة, جنوب سيناء, شرم الشيخ.",256878
بصريات اخصائيون,مركز ليزك بورسعيد,"26 ش ارض الجولف - برج عوف - الدور 2, حى الضواحى, بور سعيد.",242754
بصريات اخصائيون,معمل غالى,"11 ش د. محمد رأفت, محطة الرمل, الاسكندرية.",301936
بصريات اخصائيون,نظارات محمد خليل,"ش خالد باشا, وسط البلد, الفيوم.",282883
بصريات اخصائيون,نور العيون,"20 ش عبد العزيز جاويش, باب اللوق, القاهرة.",375063
