Category,Name,Address,ID
تطريز,ابو حمادة للتطريز,"2 ش عمر بن الخطاب - الشوربجى, بولاق الدكرور, الجيزة.",591156
تطريز,ابو عماد لمستلزمات الخياطة,"1 ش محمود سعيد, متفرع من ش التوفيقية, عين شمس الغربية, القاهرة.",534597
تطريز,ابونا للتطريز,"8 ش سعد توفيق - بشتيل, امبابة, الجيزة.",285088
تطريز,اتيليه نورهان,"6 ش على عبد السلام, الطالبية, الهرم, الجيزة.",319709
تطريز,احمد حسنين للتطريز,"13 ش 2, المراغى الجديدة, العوايد, الاسكندرية.",465697
تطريز,احمد لاعمال التطريز,"5 ب ش فاطمة الزهراء - برج النور, شبرا الخيمة, القليوبية.",478595
تطريز,ال سرور للتطريز,"3 ش حليم, السيدة زينب, القاهرة.",531013
تطريز,الاحلام للتطريز,"30 ش محروس الخراط, الخصوص, القليوبية.",499543
تطريز,الاخلاص للتطريز,"ش محمد الشحات, المحلة الكبرى, الغربية.",151860
تطريز,الاسلامية المتحدة للتطريز,"8 ش اولاد عثمان, الخصوص, القليوبية.",498773
تطريز,الاميرة,"14 ش امام المهدى, الازهر, القاهرة.",97144
تطريز,الايطالية للتطريز,"25 ش الطمار, باب الشعرية, القاهرة.",267711
تطريز,الايمان,"13 ش الامام عمر, عين شمس الشرقية, القاهرة.",476450
تطريز,البطل للصناعة والتجارة,"المنطقة الصناعية الرابعة, شبرا الخيمة, القليوبية.",567753
تطريز,البهنسى جروب للتطريز,"88 ش فيصل, المريوطية, فيصل, الجيزة.",670021
تطريز,التوحيد للتطريز والاستيراد,"ش على قنصوة متفرع من ش شكرى القواتلى, المحلة الكبرى, الغربية.",133960
تطريز,التوفيق,"ش 15, المعصرة, القاهرة.",380767
تطريز,الحرمين,"ش الثورة, حدائق المعادى, المعادى, القاهرة.",411672
تطريز,الدولية,"المنطقة الصناعية الثانية, برج العرب, الاسكندرية.",28330
تطريز,الراعى توب ليزر,"27 ش مدرسة النجاح، وراق العرب, الوراق, الجيزة.",620926
تطريز,الزهراء,"5 ش تونس, وسط البلد, كفر الشيخ.",339910
تطريز,الشركة العربية للصناعة والتجارة,"7 ش مصطفى درويش, الهرم, الجيزة.",156189
تطريز,الشركة المتحدة للاستيراد والتصدير والتجارة,"65 ش كورنيش النيل - وراق الحضر, الوراق, الجيزة.",473822
تطريز,الشريف,"27 ش وزارة الزراعة, الدقى, الجيزة.",393380
تطريز,الشعراوى للتطريز,"بلوك 19018, المنطقة الصناعية الثانية, مدينة العبور, القليوبية.",636741
تطريز,الشهد للتطريز,"2 حارة شوقى - متفرع من ش الاسد, العمرانية الغربية, الهرم, الجيزة.",489025
تطريز,الشيماء,"ش سعد زغلول, ابو كبير, الشرقية.",332180
تطريز,الصعيدى للتطريز,"7 ش يوسف الشاهد - قرية بشتيل, اوسيم, الجيزة.",544635
تطريز,الطاووس,"134 ش الوحدة العربية, عين شمس, القاهرة.",279833
تطريز,العروسة,"ش ابو غالى متفرع من ش سعد زغلول, بنها, القليوبية.",304028
تطريز,العهد الجديد للتطريز,"40 ش ام القرى - وراق الحضر, الوراق, الجيزة.",598132
تطريز,الفنون الجميلة,"8 ش الدبى, شبين الكوم, المنوفية.",539202
تطريز,الكريم للتطريز وانتاج مستلزمات الملابس الجاهزة,"الكيلو 22 طريق القاهرة الاسكندرية الصحراوى, مرغم, الاسكندرية.",622759
تطريز,المجموعة الدولية لخدمات التطريز,"19 ش القرش, جسر السويس, القاهرة.",261514
تطريز,المحبة للتطريز,"35 ش مسجد الرحمة - وراق العرب, الوراق, الجيزة.",593937
تطريز,المحبة للوازم الخياطة,"9 ش الشيخ منصور, عزبة النخل, القاهرة.",533270
تطريز,المصطفى,"1 ش خليل متفرع من ش الجيش, حى الاربعين, السويس.",295330
تطريز,الملكة للتطريز,"18 ش سيف, سيدى بشر قبلى, الاسكندرية.",223557
تطريز,الملكة والامير لخدمات التطريز,"25 ش خليل عسر, شبرا الخيمة, القليوبية.",668652
تطريز,المنسى,"ميدان البهلوان, المحلة الكبرى, الغربية.",303838
تطريز,النساجون المتحدون,"القطعة 58 - - المنطقة الصناعية B3, العاشر من رمضان, الشرقية.",786
تطريز,الهدى للتريكو الحديث,"72 ش الازهر, الازهر, القاهرة.",181885
تطريز,الهوارى لقطع غيار ماكينات التطريز,"ش العشرين, جسر السويس, القاهرة.",509248
تطريز,الوطنية للاستيراد والتصدير,"المنطقة الصناعية الجديدة, المحلة الكبرى, الغربية.",124340
تطريز,الياسمين,"ش خالد بن الوليد, فيصل, الجيزة.",406312
تطريز,اليمان للتطريز,"محلية 6 - - الحى الاول, مدينة العبور, القليوبية.",526188
تطريز,اورينتال تاتش للتجارة والتسويق,"4 ش المتحف, طنطا, الغربية.",135187
تطريز,اى تى سى,"ميدان بسيسة , المحلة الكبرى, الغربية.",181868
