Category,Name,Address,ID
جمعيات ومنظمات,ايجيتا,"1 /4 ش د. انور المفتى, متفرع من ش عباس العقاد, مدينة نصر, القاهرة.",526292
جمعيات ومنظمات,ابدأ - الجمعية المصرية لتنمية الاعمال,"13 ش النزهة, ارض الجولف, مصر الجديدة, القاهرة.",387265
جمعيات ومنظمات,ابراهيم يحيى,"2 ش حسن ابو عباس, عين شمس الغربية, القاهرة.",260927
جمعيات ومنظمات,ابراهيم يحيى عبد الرحمن,"10 ش الاربعين, عين شمس الغربية, القاهرة.",262367
جمعيات ومنظمات,اتجاة - المؤسسة الاستشارية للشباب والتنمية,"56 ش النزهة - الدور 1, ارض الجولف, مصر الجديدة, القاهرة.",426873
جمعيات ومنظمات,اتحاد الاطباء العرب - الامانة العامة,"42 ش قصر العينى - مبنى نقابة الاطباء - الدور 2, قصر العينى, القاهرة.",117957
جمعيات ومنظمات,اتحاد القوى الصوفية,"9 ش الامين متفرع من ش الهرم - مدينة الاندلس - الدور 4, الهرم, الجيزة.",400589
جمعيات ومنظمات,اتحاد المبدعين العرب,"مربع 58 - فيلا 12 - ش الشهيد احمد حمدى - الحى السابع, مدينة العبور, القليوبية.",474455
جمعيات ومنظمات,اتحاد المحامين الافرو اسيوى لحقوق الانسان,"9 ش عدلى - الدور 4, وسط البلد, القاهرة.",404637
جمعيات ومنظمات,اتحاد المحامين العرب,"13 ش اتحاد المحامين العرب, جاردن سيتى, القاهرة.",117970
جمعيات ومنظمات,اتحاد المستثمرات العرب,"55 هـ, حدائق الاهرام, الهرم, الجيزة.",388285
جمعيات ومنظمات,اتحاد الناشرين العرب,"92 ش التحرير - برج ساريدار - الدور 2, الدقى, الجيزة.",294221
جمعيات ومنظمات,اتحاد الناشرين المصريين,"92 ش التحرير - برج ساريدار - الدور 2, الدقى, الجيزة.",271570
جمعيات ومنظمات,اتحاد جمعيات التنمية الادارية,"2 ش الشواربى, وسط البلد, القاهرة.",381433
جمعيات ومنظمات,ادارة الشئون الاجتماعية,"عزبة ابو خليفة, قنطرة غرب, الاسماعيلية.",183281
جمعيات ومنظمات,ادم وحوا,"120 ش مصر والسودان, حدائق القبة, القاهرة.",254764
جمعيات ومنظمات,ارض الخير للتوزيع والتجارة,"القطعة 11 - المحور المركزى, السادس من اكتوبر, الجيزة.",179573
جمعيات ومنظمات,الاتحاد الاقليمى للجمعيات والمؤسسات الاهلية,"46 فيلا الحوفى - ش المقريزى, دمنهور, البحيرة.",379584
جمعيات ومنظمات,الاتحاد الاقليمى للجمعيات والمؤسسات الاهلية,"1 عمارات الاوقاف - ش الاوقاف تقاطع ش المدارس, طنطا, الغربية.",380578
جمعيات ومنظمات,الاتحاد الاقليمى للجمعيات والمؤسسات الاهلية,"10 ش خالد ابن الوليد, عمارة معونة الشتاء, شبين الكوم, المنوفية.",651342
جمعيات ومنظمات,الاتحاد الاقليمى للجمعيات والمؤسسات الاهلية,"44 ش النقراشى - ميت حدر, المنصورة, الدقهلية.",494317
جمعيات ومنظمات,الاتحاد البريدى العالمى,"ميدان رمسيس, وسط البلد, القاهرة.",404520
جمعيات ومنظمات,الاتحاد التعاونى المركزى للزراعة - سى ايه سى يو,"132 ش التحرير, الدقى, الجيزة.",128943
جمعيات ومنظمات,الاتحاد الدولى للتحكيم وحقوق الانسان,"310 . - الدور 3, حلوان, القاهرة.",410898
جمعيات ومنظمات,الاتحاد العام للمصريين فى الخارج,"106 عمارة الاسواق الحرة ش جامعة الدول العربية, الدور 6, المهندسين, الجيزة.",127564
جمعيات ومنظمات,الاتحاد العربى لحماية الحياة البرية,"6 ش عبد العظيم العشماوى, الماظة, مصر الجديدة, القاهرة.",146229
جمعيات ومنظمات,الاتحاد المصرى لجمعيات المستثمرين,"54 ش دمشق, ميدان الجامع, مصر الجديدة, القاهرة.",141262
