Category,Name,Address,ID
خياطون,ابراهيم الشرقاوى,"15 ش الغيث, العجوزة, الجيزة.",468006
خياطون,ابراهيم العنانى,"5 عطفة السنباطى, باب الشعرية, القاهرة.",94889
خياطون,ابراهيم حسنين,"قرية كفر الجمال, طوخ, القليوبية.",139739
خياطون,ابراهيم حسين فرغلى,"22 ش صلاح الدين, العطارين, الاسكندرية.",23929
خياطون,ابراهيم رجب,"قرية العدوة, وسط البلد, الفيوم.",114827
خياطون,ابراهيم شعبان,"54 ش اسماعيل صبرى, الجمرك, الاسكندرية.",28476
خياطون,ابراهيم عبد الفتاح الزرقانى,"13 ش محمد رأفت, محطة الرمل, الاسكندرية.",34705
خياطون,ابراهيم محمد الفخرانى,"ش مسجد مصطفى كامل, مصطفى كامل, الاسكندرية.",36903
خياطون,ابراهيم محمود,"1 ش سلامة الراضى, فيصل, الجيزة.",419329
خياطون,ابراهيم منصور,"17 ش بنى عقيل, سراى القبة, القاهرة.",419028
خياطون,ابرة وخيط,"26 ش عبد الله بن طاهر, مدينة نصر, القاهرة.",462286
خياطون,ابن البلد,"ش الشباب - حى الشباب, مدينة العبور, القليوبية.",522192
خياطون,ابن سندر,"ميدان ابن سندر, سراى القبة, القاهرة.",408095
خياطون,ابو احمد,"ش 144, جسر السويس, القاهرة.",386002
خياطون,ابو اسامة,"ش ابن النفيس, المعمورة البلد, الاسكندرية.",264285
خياطون,ابو العلا,"ش خيرى عبد العزيز, منيا القمح, الشرقية.",324190
خياطون,ابو باسم,"18 ش احمد زكى, حدائق المعادى, المعادى, القاهرة.",418063
خياطون,ابو تامر,"30 ش خالد بن الوليد, جسر السويس, القاهرة.",276140
خياطون,ابو تامر,"96 ش عمرو بن العاص, مصر القديمة, القاهرة.",408663
خياطون,ابو جاد,"ش الجيش, كفر صقر, الشرقية.",351723
خياطون,ابو حسام,"19 ش القومية العربية, الوراق, الجيزة.",387299
خياطون,ابو دعاء,"21 ش السيدة زينب, دار السلام, القاهرة.",332241
خياطون,ابو رشاد السورى,"11 ش محمد حسن الجمل, الحى السادس, مدينة نصر, القاهرة.",486329
خياطون,ابو زيد,"23 ش الدقى, بولاق الدكرور, الجيزة.",270921
خياطون,ابو سيفين,"20 ش الليث, الزيتون, القاهرة.",408078
خياطون,ابو عافية,"ش عبد الحفيظ النجار, فيصل, الجيزة.",399954
خياطون,ابو على,"ش خالد بن الوليد, ابو المطامير, البحيرة.",372986
خياطون,ابو كامل,"27 ش مصطفى النحاس, مدينة نصر, القاهرة.",315196
خياطون,ابو مصطفى,"ش مدرسة التجارة, كفر صقر, الشرقية.",351898
خياطون,ابو هشام,"7 ش الملاح, شبرا الخيمة, القليوبية.",420114
خياطون,ابو وليد,"ش المهندسين, الرياض, كفر الشيخ.",365451
خياطون,ابو يوسف,"ش الصادق, ميت غمر, الدقهلية.",339608
خياطون,ابو يوسف للملابس,"17 ش وابور الطحين, الخصوص, القليوبية.",498366
خياطون,اتيليه ابرة وخيط,"., السادس من اكتوبر, الجيزة.",359045
خياطون,اتيليه ابو تريكة,"266 ش السودان, المهندسين, الجيزة.",383680
خياطون,اتيليه ابو على,"ش السكة الحديد, اولاد صقر, الشرقية.",366228
خياطون,اتيليه ابو يوسف,"3 ب ش حمودة, حدائق حلوان, القاهرة.",242059
خياطون,اتيليه اتش ان اتش,"19 ش المساحة, الدقى, الجيزة.",270949
خياطون,اتيليه احباب الحسين,"ش محمد الدمرداش, وسط البلد, كفر الشيخ.",342576
خياطون,اتيليه احمد النحاس,"23 ش الحمامصى, شبين الكوم, المنوفية.",541953
خياطون,اتيليه ادم,"37 ش الجراج, حدائق القبة, القاهرة.",400917
خياطون,اتيليه ادم,", المجاورة الثانية, الحى السابع, السادس من اكتوبر, الجيزة.",214487
خياطون,اتيليه اسامة,"16 ش السادات, كرداسة, الجيزة.",361075
خياطون,اتيليه اسامة,"., الحى السادس, السادس من اكتوبر, الجيزة.",438971
خياطون,اتيليه اسراء,"ش عبد المنعم عبد القادر متفرع من ش الميثاق, البساتين, القاهرة.",371679
خياطون,اتيليه اسلاميات,"ش عبد الهادى حسن, المريوطية, فيصل, الجيزة.",332449
خياطون,اتيليه اشرف,"100 ش الشيخ غراب تقسيم الرقابة الادارية, حدائق القبة, القاهرة.",111808
خياطون,اتيليه اشرف حسن,"5 ش 5, مصر الجديدة, القاهرة.",123626
خياطون,اتيليه الاء,"14 ش ابو سمبل, الهرم, الجيزة.",410948
خياطون,اتيليه الاصدقاء,"ش المكاوى, الشهداء, المنوفية.",318771
خياطون,اتيلية الامراء,"ش وادى الملوك، متفرع من اديب معقد, السيوف, الاسكندرية.",628566
خياطون,اتيليه الاميرة,"143 ش النزهة, مصر الجديدة, القاهرة.",422570
خياطون,اتيليه الاناقة,"ش محمود عباس, فيصل, الجيزة.",388401
خياطون,اتيليه الاناقة,"محلية 6 - - الحى الاول, مدينة العبور, القليوبية.",526031
خياطون,اتيليه البركة,"37 مساكن بديل العشوائيات -, الحى السادس, السادس من اكتوبر, الجيزة.",439115
خياطون,اتيليه البرنسيسة,"ش الزعيم غاندى متفرع من ش مصطفى حافظ, عين شمس, القاهرة.",285091
خياطون,اتيليه البرنسيسة,"طريق اسكندرية مطروح الصحراوى, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",149936
خياطون,اتيليه التقى,"54 ش الزهور, حدائق المعادى, المعادى, القاهرة.",675832
خياطون,اتيليه التوأمان,"., الحى السادس, السادس من اكتوبر, الجيزة.",213870
خياطون,اتيليه الجمال,"92 ش الشيخ غراب, حدائق القبة, القاهرة.",399616
خياطون,اتيليه الجمال,"5 ش عباس العقاد, مدينة نصر, القاهرة.",593737
خياطون,اتيليه الجنوبى,"ش ترعة الغزالية, الشهداء, المنوفية.",317416
خياطون,اتيليه الجيزاوى,"., الحى العاشر, السادس من اكتوبر, الجيزة.",439320
خياطون,اتيليه الحاج عبده,"ش الخديوى توفيق, المحلة الكبرى, الغربية.",304399
خياطون,اتيليه الحاجة,"463 ش سكة الوايلى ميدان حدائق القبة, حدائق القبة, القاهرة.",201760
خياطون,اتيليه الحرية,"8 ش حبيب جاماتى, متفرع من ش عبد اللطيف حمزة, مدينة نصر, القاهرة.",680213
خياطون,اتيليه الدماطى,"ش بورسعيد, الشهداء, المنوفية.",317359
خياطون,اتيليه الراعى الصالح,"ش النصر متفرع من ش طراد النيل, الحوامدية, الجيزة.",284364
خياطون,اتيلية الزهور,"81 مساكن ضباط القوات المسلحة, المرحلة الاولى, زهراء مدينة نصر, مدينة نصر, القاهرة.",676616
خياطون,اتيليه السعادة,"امتداد ش عباس العقاد - مساكن الاسماعيلية - بلوك52 - عمارة 3, الحى السابع, مدينة نصر, القاهرة.",453902
خياطون,اتيليه السعادة,"32 ش احمد الخشاب, مدينة نصر, القاهرة.",683091
خياطون,اتيليه السفيرة الشرقية,"ش السبع بنات, اللبان, الاسكندرية.",214395
خياطون,اتيليه السندريلا,"12 عمارات الضباط - ش الشعب, العمرانية الغربية, الهرم, الجيزة.",500023
خياطون,اتيليه السيدة زينب,"94 ش المطرية, المطرية, القاهرة.",260432
خياطون,اتيليه الشواربى,"40 عمارات صقر قريش, مساكن شيراتون, مصر الجديدة, القاهرة.",680003
خياطون,اتيليه الشيخ,"8 ش اليسر متفرع من ش الاقبال, الاقبال, الاسكندرية.",35766
خياطون,اتيليه الضبع,"ش سليم, فيصل, الجيزة.",364711
خياطون,اتيليه العروسة,"9 ش المحمدى, العصافرة, الاسكندرية.",98184
خياطون,اتيليه العروسة,"المجاورة الثالثة, الحى العاشر, السادس من اكتوبر, الجيزة.",439332
خياطون,اتيليه العمدة,"ش بورسعيد, الشهداء, المنوفية.",317461
خياطون,اتيليه الغندورة,"49 ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",577602
خياطون,اتيليه الفردوس,"5 ش السد العالى, البساتين, القاهرة.",505121
خياطون,اتيليه المتميزة,"5 عمارات البترول - ش 9, المقطم, القاهرة.",272548
خياطون,اتيليه المدينة,"36 ش الخليل تقسيم الادارة الادارية, حدائق القبة, القاهرة.",201452
خياطون,اتيليه المقص الذهبى,"47 ز, حدائق الاهرام, الهرم, الجيزة.",451880
خياطون,اتيليه المنى,"11 ش جميلة بوحريد, فيكتوريا, الاسكندرية.",302772
خياطون,اتيليه النجم الساطع,"ش التوحيد, الحضرة الجديدة, الاسكندرية.",260233
خياطون,اتيليه النجم الساطع,"ش التوحيد, الحضرة الجديدة, الاسكندرية.",258566
