Category,Name,Address,ID
دكتور اطفال,احمد سمير قاسم,"5 ش عبد الحميد بدوى, محطة الرمل, الاسكندرية.",34616
دكتور اطفال,اشرف خيرى رضوان,"90 ش النيل, المنيل, القاهرة.",51624
دكتور اطفال,اطفالنا كلينيك,"القطعة الثانية - طريق الشباب, الشيخ زايد, السادس من اكتوبر, الجيزة.",600151
دكتور اطفال,المركز التخصصى للاطفال,"6 ش الثلاثينى متفرع من ش المريوطية, الكوم الاخضر, الهرم, الجيزة.",328660
دكتور اطفال,المركز التخصصى للاطفال,"91 ش احمد شوقى متفرع من طريق الحرية, مصطفى كامل, الاسكندرية.",211939
دكتور اطفال,المركز الدولى لطب الاطفال,"ش 6 متفرع من ش 45, العصافرة قبلى, الاسكندرية.",589914
دكتور اطفال,المركز المصرى البريطانى لطب الاطفال,"18 ش الفريق على عامر, متفرع من ش مكرم عبيد, مدينة نصر, القاهرة.",674847
دكتور اطفال,ايمن الحريرى,"71 ش جسر السويس, جسر السويس, القاهرة.",52165
دكتور اطفال,بامبينو اند كيدز كلينك,"القطعة 165 ش التسعين الشمالى, قطاع 1, التجمع الخامس, القاهرة الجديدة, القاهرة.",643048
دكتور اطفال,بديكير - د. مصطفى شبانة,"القطعة 28أ ش عبد الله بن سلامة, متفرع من ش التسعين الشمالى, المستثمرين الشمالية, القاهرة الجديدة, القاهرة.",673203
دكتور اطفال,برميم للعلاج الطبيعى والتأهيل الشامل للاطفال - د. محمد محمود,"فيلا 422 - ش 16 - منطقة أ - هضبة الاهرام, حدائق الاهرام, الهرم, الجيزة.",532483
دكتور اطفال,بيبى كلينيك,"طريق التحرير محور الكفراوى - المجاورة السابعة - الدور 2, الحى الثالث, السادس من اكتوبر, الجيزة.",587169
دكتور اطفال,بيبى كلينيك - د. ريهام عبد الله عمر,"مول المشربية - الميركاتو, هضبة ام السيد, شرم الشيخ.",249911
دكتور اطفال,بيست فيد كلينيك,"26 ش نبيل الوقاد, ارض الجولف, مصر الجديدة, القاهرة.",593862
دكتور اطفال,تشيلد كلينيك معادى,"5 ابراج الشرطة - ش 233, دجلة, المعادى, القاهرة.",179557
دكتور اطفال,ثريا احمد شرف الدين,"32 ش مصطفى فهمى, جليم, الاسكندرية.",40219
دكتور اطفال,جمال الدين الغنيمى,"7 ش مانوزيس, كامب شيزار, الاسكندرية.",40647
دكتور اطفال,حسن نايل راشد,"241 ش مصطفى كامل, باكوس, الاسكندرية.",38901
دكتور اطفال,حلاوة كيدز,"ش سلاح المهندسين - الدواجن, حلوان, القاهرة.",391236
دكتور اطفال,د . جمال محمد عطا,"182 ش الجمهورية, الصف, الجيزة.",94672
دكتور اطفال,د . سامح القلينى,"61 ش الاربعين, عين شمس الغربية, القاهرة.",659685
دكتور اطفال,د . نبيل محروس,"63 عمارات صقر قريش, الدور 2, مساكن شيراتون, مصر الجديدة, القاهرة.",679098
دكتور اطفال,د .عبد المنعم سيد,"5 ش مؤسسة الزكاة, المرج, القاهرة.",662949
دكتور اطفال,د .عمرو محمدى محمد,"15 ش مؤسسة الزكاة, المرج, القاهرة.",662959
دكتور اطفال,د طارق الشاعر,"71 ش جامعة الدول العربية, المهندسين, الجيزة.",590951
دكتور اطفال,د. صبحى الغرباوى,"112 ش سليم الاول, النعام, حلمية الزيتون, القاهرة.",654593
دكتور اطفال,د. محمد ابو سكين,"27 ش الجاحظ, الحى السابع, مدينة نصر, القاهرة.",179945
دكتور اطفال,د. ابتسام المليجى,"26 ميدان الروضة, المنيل, القاهرة.",52132
دكتور اطفال,د. ابتسام عدلى,"58 أ ش عبد الرحمن, حلوان, القاهرة.",457027
دكتور اطفال,د. ابراهيم ابو اليزيد,"65 ش البطل احمد عبد العزيز, الخانكة, القليوبية.",516794
دكتور اطفال,د. ابراهيم اسماعيل,"., السادس من اكتوبر, الجيزة.",438949
دكتور اطفال,د. ابراهيم الحناوى,"54 ش جمال عبد الناصر ميدان شرف - برج الكوثر - الدور 3, شبين الكوم, المنوفية.",530649
دكتور اطفال,د. ابراهيم الشرقاوى,"2 ش السلام متفرع من ش ترعة الزمر, العمرانية الشرقية, الهرم, الجيزة.",505739
