Category,Name,Address,ID
دكتور امراض الدم,د. مها الزميتى لامراض اورام الدم,"50 ش الخليفة المأمون, مصر الجديدة, القاهرة.",406309
دكتور امراض الدم,د. احمد ابو النجا خلاف,"7 ش محمد رشيد رضا, مصر الجديدة, القاهرة.",426644
دكتور امراض الدم,د. احمد عبد الرحمن,"10 ش المشير احمد اسماعيلعمارة وايت بلازا، الدور 3, سيدى جابر, الاسكندرية.",471496
دكتور امراض الدم,د. احمد عثمان,"85 ش 9, ثكنات المعادى, المعادى, القاهرة.",443577
دكتور امراض الدم,د. اسلام محمد الزعيم,"240 ش ترعة الجبل, حدائق الزيتون, القاهرة.",661226
دكتور امراض الدم,د. الدسوقى دسوقى فودة,"2 ش يثرب, متفرع من ش السودان, المهندسين, الجيزة.",440228
دكتور امراض الدم,د. ايمن فاخر,"17 ش ابو داوود الظاهرى, الدور 4, متفرع من ش مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة.",458385
دكتور امراض الدم,د. ايناس عصفور,"16 عمارات العبور - طريق صلاح سالم - الدور 1, مدينة نصر, القاهرة.",398537
دكتور امراض الدم,د. جمال الدين محمد فتحى,"60 ش الخليفة المأمون - الدور 6 شقة 301, روكسى, مصر الجديدة, القاهرة.",562942
دكتور امراض الدم,د. حسام عبد الحميد حسن الوكيل,"ش ميت حدر تقاطع ش بنك مصر, المنصورة, الدقهلية.",397222
دكتور امراض الدم,د. حسام محمد كامل محمود,"23 ميدان الاتحاد, حدائق المعادى, المعادى, القاهرة.",439969
دكتور امراض الدم,د. حسن نافع,"18 ش كلية الطب - الدور 4, محطة الرمل, الاسكندرية.",471291
دكتور امراض الدم,د. حسين الجندى,"60 ش الخليفة المأمون - برج كوين - الدور 2 شقة 15, روكسى, مصر الجديدة, القاهرة.",587070
دكتور امراض الدم,د. حنان حامد,"55 برج الاطباء ش عبد المنعم رياض, الدور 12, المهندسين, الجيزة.",176574
دكتور امراض الدم,د. دعاء محمد الدمرداش,"112 ش المنيل - الدور 1, المنيل, القاهرة.",587322
دكتور امراض الدم,د. رأفت نجا,"4 ش كنيسة دبانة متفرع من ش صلاح سالم, محطة الرمل, الاسكندرية.",34233
دكتور امراض الدم,د. رانيا عاشور,"1 ش محمود عباس على, ميدان الساعة, كفر طهرمس, الطالبية, فيصل, الجيزة.",595672
دكتور امراض الدم,د. رانيا محمد حافظ,"برج خالد بن الوليد - ميدان المحطة, اسيوط, اسيوط.",586700
دكتور امراض الدم,د. سامح نصر عبد الرحمن,"9090 ش 9, المقطم, القاهرة.",443992
دكتور امراض الدم,د. شريف محمود على,"5 ش طه حسين, النزهة الجديدة, القاهرة.",588961
دكتور امراض الدم,د. عائشة السيد منسى,"ميدان الحجاز, ميدان الحجاز, مصر الجديدة, القاهرة.",459536
دكتور امراض الدم,د. عبد السلام عطا الله,"271 ش فيصل, التعاون, فيصل, الجيزة.",437796
دكتور امراض الدم,د. عبد العزيز عطية القاق,"3 ش محمود شكرى, سموحة, الاسكندرية.",613378
دكتور امراض الدم,د. علاء عفت حسن,"ميدان شرف - برج الفيروز, شبين الكوم, المنوفية.",588854
دكتور امراض الدم,د. على صبحى,"21 ش جامعة القاهرة , الجيزة, الجيزة.",179764
دكتور امراض الدم,د. عمرو الغماز,"بلوك 3أ - ش د. محمود فتحى, الحى التاسع, مدينة نصر, القاهرة.",587992
دكتور امراض الدم,د. عمرو المنوفى,"2 ش جميلة بو حريد, تقاطع ش محمد عارف, السيوف شماعة, الاسكندرية.",694788
دكتور امراض الدم,د. عمرو محمد جوالى,"ش الجمهورية, كوم حمادة, البحيرة.",369237
دكتور امراض الدم,د. فرح الشناوى,"ش السكة الحديد, المنصورة, الدقهلية.",155720
دكتور امراض الدم,د. محمد حامد خلف,"511 ش الاهرام ميدان الجيزة - عمارة النصر - الدور 11 شقة 5, الجيزة, الجيزة.",241064
دكتور امراض الدم,د. مسعد الجمال,"2 ش شفيق - عمارة ركن المعادى - الدور 1, المعادى, القاهرة.",505560
دكتور امراض الدم,د. مصطفى الرزاز,"3 ش 52 - الحى الاول - منطقة 800, مدينة العبور, القليوبية.",433092
دكتور امراض الدم,د. مصطفى جمال الدين,"9 ش سعيد ذو الفقار, المنيل, القاهرة.",427061
دكتور امراض الدم,د. هالة اباظة,"بلوك 167/1 ش التسعين الشمالى, قطاع 1, مركز المدينة, التجمع الخامس, القاهرة الجديدة, القاهرة.",586902
دكتور امراض الدم,د. هند نبيل الليثى,"51 ش قصر العينى, السيدة زينب, القاهرة.",420962
دكتور امراض الدم,د. ياسر محمد السقيلى,"45 عمارة فيينا ش خليل الخياط ميدان سانت جينى - الدور 1, رشدى, الاسكندرية.",559388
دكتور امراض الدم,عيادة أ.د.إيرينى لويس ميخائيل سعد,"374 طريق الحرية, الشقة 9, الدور 3, مصطفى كامل, الاسكندرية.",688155
