Category,Name,Address,ID
دكتور جراحة عامة,د. احمد عبد الحي عبد اللطيف - استشارى جراحة الجهاز الهضمى والشرج والمستقيم و المناظير والليزر,"عمارة الإسكندرية آخر شارع النحاس, الدور 1, ميدان اسكندرية, طنطا, الغربية.",651501
دكتور جراحة عامة,د. على احمد شفيق,"53 ش مصدق, الدقى, الجيزة.",68903
دكتور جراحة عامة,د. اسماعيل شفيق,"7 ش جمال سالم, متفرع من ش مصدق, الدقى, الجيزة.",68855
دكتور جراحة عامة,د. سعيد الديدامونى,", ميدان الصاغة, الابراهيمية, الشرقية.",689914
دكتور جراحة عامة,عيادة دكتور محمد مسعد قنديل للجراحة العامة والمناظير,"154 ش عبد السلام عارف, الشقة 4, الدور 1, سان استيفانو, الاسكندرية.",511365
دكتور جراحة عامة,د. حسين السايس استشارى الجراحة العامة والمناظير,"ش د. الشيمى, المنطقة العاشرة, الحى العاشر, مدينة نصر, القاهرة.",668334
دكتور جراحة عامة,أ.د / شريف حتحوت أستاذ الجراحة العامة والمناظير وجراحات السمنة المفرطة,"14 ش مصدق - الدور 4, الدقى, الجيزة.",591462
دكتور جراحة عامة,د. احمد عبد العزيز تعلب,", محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",463173
دكتور جراحة عامة,د. احمد محمد ناصر استشارى جراحة المناظير والسمنة,"5 عمارة الدار البيضاء - ش عباس العقاد, مدينة نصر, القاهرة.",611614
دكتور جراحة عامة,د. حازم ناصف استشارى الجراحة العامة والجهاز الهضمى والمناظير والسمنة الفرطة,"303 أ ش الثروة المعدنية, حدائق الاهرام, الهرم, الجيزة.",531417
دكتور جراحة عامة,د. علاء الدين حسين احمد,"21 ش النصر, الدور 2, تقاطع ش 263, المعادى الجديدة, المعادى, القاهرة.",535839
دكتور جراحة عامة,د. محمد ضياء سرحان,"15 ش عمرو, متفرع من ش سوريا,, المهندسين, الجيزة.",183497
دكتور جراحة عامة,عيادة دكتور محمد عبد الله شرعان,"186 برج التوفيق - ش عبد السلام عارف , سان استيفانو, الاسكندرية.",194065
دكتور جراحة عامة,أ. د. محمد ابراهيم قاسم - أستاذ جراحة اورام البنكرياس والمرارة والقنوات المرارية,"8 ميديكال تاور - ش كلية الطب, محطة الرمل, الاسكندرية.",573205
دكتور جراحة عامة,ابراهيم الاحول,"247 ش بورسعيد, كليوباترا, الاسكندرية.",53968
دكتور جراحة عامة,ابراهيم السيد ابراهيم,"1 ش فيكتور عمانوئيل, مصطفى كامل, الاسكندرية.",37308
دكتور جراحة عامة,ابو الفتوح عيد,"2 ش استامبول, محطة الرمل, الاسكندرية.",34760
دكتور جراحة عامة,اتش جى كلينيك,"131 ش التحرير, الدور 2, الدقى, الجيزة.",657945
دكتور جراحة عامة,احمد اسماعيل,"2 ش استامبول, محطة الرمل, الاسكندرية.",34301
دكتور جراحة عامة,احمد الصدر,"40 ش صفية زغلول, محطة الرمل, الاسكندرية.",31930
دكتور جراحة عامة,احمد بسيونى,"16 ش السلطان حسين, محطة الرمل, الاسكندرية.",34524
دكتور جراحة عامة,احمد صالح,"18 ش كلية الطب, محطة الرمل, الاسكندرية.",32153
دكتور جراحة عامة,احمد نبيل حسان,"203 ش بور سعيد, سبورتنج, الاسكندرية.",41576
دكتور جراحة عامة,اسر عبد الحميد حافظ,"25 ش السلطان حسين, محطة الرمل, الاسكندرية.",53967
دكتور جراحة عامة,اسعد عبد السلام,"22 ش الاسناوى, الورديان, الاسكندرية.",27965
دكتور جراحة عامة,الدقى كلينيك لجراحة السمنة المفرطة,"108 ش التحرير, الدقى, الجيزة.",598838
