Category,Name,Address,ID
دكتور روماتيزم,الفا فيت,"1, الشقة 1001, الدور 10, ميدان الحجاز, برج الصفا الطبى, المهندسين, الجيزة.",5792
دكتور روماتيزم,تامر الفرحاتى,"ميدان الهابى لاند, المنصورة, الدقهلية.",96660
دكتور روماتيزم,د. ابراهيم خليل للطب الطبيعى والروماتيزم والتأهيل,"194 طريق الحرية - ش ابو قير ميدان الابراهيمية, الابراهيمية, الاسكندرية.",469521
دكتور روماتيزم,د. ابراهيم عبد السميع,"23 ش محمد النادى, مدينة نصر, القاهرة.",598875
دكتور روماتيزم,د. ابراهيم عبد الله المرسى البغدادى,"ش المحطة, المنصورة, الدقهلية.",273807
دكتور روماتيزم,د. احمد امين,"45 ش 9, ثكنات المعادى, المعادى, القاهرة.",675221
دكتور روماتيزم,د. احمد امين المغربى,"32 ش المراغى, حلوان, القاهرة.",586515
دكتور روماتيزم,د. احمد خميس محمد,"51 ش 104, المعادى, القاهرة.",102378
دكتور روماتيزم,د. احمد رضوان خالد,"32 ش الفلكى, باب اللوق, القاهرة.",53131
دكتور روماتيزم,د. احمد شلبى,"ش اللبينى تقاطع ش الهرم, المريوطية, الهرم, الجيزة.",587214
دكتور روماتيزم,د. احمد فتحى ابو جمال,"60 ش الخليفة المأمون, منشية البكرى, مصر الجديدة, القاهرة.",404803
دكتور روماتيزم,د. احمد فتحى ابو جمال,"ش عبد العزيز عبد الدائم, عين شمس الشرقية, القاهرة.",320254
دكتور روماتيزم,د. احمد فهمى,"5 ش عمرو بن العاص, البدرشين, الجيزة.",605094
دكتور روماتيزم,د. احمد لبيب,"13 ش جمال, شبرا, القاهرة.",50424
دكتور روماتيزم,د. احمد نجاح عبد السلام,"15 ش الطيران, مدينة نصر, القاهرة.",671644
دكتور روماتيزم,د. اسامة خضر التونى,"ش عبد الرحمن, حلوان, القاهرة.",454618
دكتور روماتيزم,د. اسيمة محمد محجوب,"2 ش محمد المهدى, ارض الجولف, مصر الجديدة, القاهرة.",263321
دكتور روماتيزم,د. اشرف صلاح,"6 ش سعيد عزب, فيصل, الجيزة.",173886
دكتور روماتيزم,د. السيد حسن الصياد,"ش بورسعيد, الابراهيمية, الشرقية.",363968
دكتور روماتيزم,د. السيد ربيع صادق,"87 ش المطراوى, المطرية, القاهرة.",126337
دكتور روماتيزم,د. الشيماء احمد عويلة,"6 ش الازهار, المنطقة الاولى, مدينة نصر, القاهرة.",686041
دكتور روماتيزم,د. الشيماء احمد عويلة,"6 ش الازهار متفرع من ش عباس العقاد, المنطقة الاولى, مدينة نصر, القاهرة.",591651
دكتور روماتيزم,د. الوليد السيد الشال,"28 ش بنك مصر, المنصورة, الدقهلية.",273809
دكتور روماتيزم,د. امانى البهنساوى,"برج الكوثر - السكة الجديدة - الدور 8, المنصورة, الدقهلية.",432906
