Category,Name,Address,ID
دكتور علاج الالم,د. احمد سعيد الشال,"60 ش الخليفة المأمون, الشقة 22, الدور 2, برج كوين سنتر, منشية البكرى, مصر الجديدة, القاهرة.",617567
دكتور علاج الالم,د. احمد صلاح,"9 ش سراى النيل, المنيل, القاهرة.",688097
دكتور علاج الالم,د. اسامه جاويش,"53 عمارات رابعة الاستثمارى ش النزهة, مدينة نصر, القاهرة.",679352
دكتور علاج الالم,د. اياد رمزى,"ش حسين بك - برج حسين بك, المنصورة, الدقهلية.",589716
دكتور علاج الالم,د. ايمن ممدوح,"ش يسرى راغب - برج الزهور, اسيوط, اسيوط.",599206
دكتور علاج الالم,د. حسن على,"10 ش د. حندوسة, قصر العينى, القاهرة.",597707
دكتور علاج الالم,د. مجدى اسكندر,"ش قصر العينى, قصر العينى, القاهرة.",590895
دكتور علاج الالم,د. محمد حمادة,"15 عمارات رابعة الاستثمارى ش النزهة, الدور 2, مدينة نصر, القاهرة.",679420
دكتور علاج الالم,د. ممدوح الشال,"159 ش الهرم, الكوم الاخضر, الهرم, الجيزة.",592343
دكتور علاج الالم,د. هانى محمد نجيب الديب,"8 ش مراد ميدان الجيزة - برج مراد الادارى, الجيزة, الجيزة.",587333
دكتور علاج الالم,د. هشام العزازى,"17 ب عمارات العبور طريق صلاح سالم, الشقة 3, الدور 13, مصر الجديدة, القاهرة.",439255
دكتور علاج الالم,د. وائل مشعل,"7 ش وائل بيومى, الهرم, الجيزة.",590120
دكتور علاج الالم,عيادات قورة,"54 ش البطل احمد عبد العزيز, متفرع من ش جامعة الدول العربية, المهندسين, الجيزة.",466648
دكتور علاج الالم,عيادة علاج الالم,"28 ش عثمان بن عفان, الشقة 801, الدور 9, ميدان الاسماعيلية, مصر الجديدة, القاهرة.",603066
دكتور علاج الالم,مركز علاج الالم المتكامل,"75 ش فوزى معاذ, سموحة, الاسكندرية.",301625
دكتور علاج الالم,مركز علاج الجروح المزمنة,"47 ش الحجاز, الشقة 10, الدور 2, ميدان المحكمة, مصر الجديدة, القاهرة.",657552
