Category,Name,Address,ID
دكتور,عيادات تشينج مى,"76 ش الثورة, الدور 8, ارض الجولف, مصر الجديدة, القاهرة.",568763
دكتور,مركز تجميل جلو,"30 ش سوريا, الدور 1, رشدى, الاسكندرية.",457420
دكتور,مركز لبنان للاسنان - د. سهير الشافعى,"11 ش لبنان, الدور 4, المهندسين, الجيزة.",52094
دكتور,عيادات نيوترى فتنس,"26 ش محمد المقريفى, الحى الثامن, مدينة نصر, القاهرة.",671922
دكتور,ديرما ليزر كلينيك - د. بسمة لبيب,"7 /2 ش النصر, الدور 2, المعادى الجديدة, المعادى, القاهرة.",230506
دكتور,لؤى سكان للاشعة رباعية وخماسية الابعاد,"60 برج كوين سنتر ش الخليفة المأمون, روكسى, مصر الجديدة, القاهرة.",242194
دكتور,كيور هارت,"427 ن ش الجيش, حدائق الاهرام, الهرم, الجيزة.",531568
دكتور,عساف للعيون والليزك,"52 ش ابو العتاهية, امتداد ش عباس العقاد, مدينة نصر, القاهرة.",396846
دكتور,مركز السلامة الطبى - د. عائشة محمود عبد المنعم,"20 ش محمد فريد, الحى المتميز, السادس من اكتوبر, الجيزة.",120364
دكتور,عيادات حور,"20 شارع على امين, امتداد مصطفى النحاس, مدينة نصر, القاهرة.",519389
دكتور,المركز المصرى لاطفال الانابيب,"3 ش 161, متفرع من طريق مصر حلوان الزراعى, حدائق المعادى, المعادى, القاهرة.",12046
دكتور,د. على احمد شفيق,"53 ش مصدق, الدقى, الجيزة.",68903
دكتور,دجلة دينتال كلينيك - د. مينا ماهر هارون,"8 ش 208, دجلة, المعادى, القاهرة.",227209
دكتور,د. اسماعيل شفيق,"7 ش جمال سالم, متفرع من ش مصدق, الدقى, الجيزة.",68855
دكتور,مركز فيزيو كير,"القطعة 31, الشيخ زايد, السادس من اكتوبر, الجيزة.",394028
دكتور,مركز د. ماضى للعلاج الطبيعى و السمنة,"ش المنيل, الدور 3, ميدان الباشا, المنيل, القاهرة.",437058
دكتور,مركز هلا لطب الاسنان,"ش قناة السويس, المنصورة, الدقهلية.",394260
دكتور,دكتور عادل حسني للتجميل,"ميديكال بارك بريميير - عيادة 239, الدور 2, التجمع الخامس, القاهرة الجديدة, القاهرة.",352739
دكتور,مركز سبيل للطب النفسى وعلاج الادمان,"الكيلو 21, العجمى, الاسكندرية.",469515
دكتور,د. ايمن الغنيمى - استشارى عيون الاطفال والحول,"8 ش 153, ميدان الحرية, المعادى, القاهرة.",435895
دكتور,مركز المصطفى للعلاج الطبيعى,"39 ش 270, المعادى الجديدة, المعادى, القاهرة.",225172
دكتور,عيادة دكتور محمد مسعد قنديل للجراحة العامة والمناظير,"154 ش عبد السلام عارف, الشقة 4, الدور 1, سان استيفانو, الاسكندرية.",511365
دكتور,ستارز ليزر كلينيك - د. ماجد الشيخ,"96 برج الاطباء ش مصطفى النحاس, مدينة نصر, القاهرة.",314939
دكتور,عيادة د. ايمان على عبد الفتاح,"514 ش ابو قير, الوزارة, الاسكندرية.",686702
دكتور,د. سمير احمد كامل,"9 ش 9, ميدان النافورة, المقطم, القاهرة.",586494
دكتور,د. سعيد الديدامونى,", ميدان الصاغة, الابراهيمية, الشرقية.",689914
دكتور,المركز العربى لعلاج الثدى والاورام - ايه بى سى,"26 ش جامعة الدول العربية, الدور 1, المهندسين, الجيزة.",382686
دكتور,مركز القاهرة للعلاج الطبيعى والتأهيل د. محمد المهدى,"19 ش البطل احمد عبد العزيز, الدور 4, المهندسين, الجيزة.",266339
دكتور,عيادات د. عبد الحميد السنهورى للخصوبة والحقن المجهرى وحقن البلازما للمبيضين,"376 ش جمال عبد الناصر, الدور 1, العصافرة بحرى, الاسكندرية.",653129
دكتور,عيادة د. مصطفى النحاس للطب النفسى وعلاج الادمان,"50 ش عمر لطفى, كامب شيزار, الاسكندرية.",475732
دكتور,مستشفى سيتى,"9 ش اسماعيل سرهانك, لوران, الاسكندرية.",689169
دكتور,مركز محرم بك للاسنان,"85 ش محرم بك, الدور 2, عمارة قصر كريم, محرم بك, الاسكندرية.",505780
دكتور,د. حسين السايس استشارى الجراحة العامة والمناظير,"ش د. الشيمى, المنطقة العاشرة, الحى العاشر, مدينة نصر, القاهرة.",668334
دكتور,مركز عناية العيون,"1 ش دمشق, متفرع من ميدان سوارس, المعادى, القاهرة.",96410
دكتور,د. مها الزميتى لامراض اورام الدم,"50 ش الخليفة المأمون, مصر الجديدة, القاهرة.",406309
دكتور,د. مصطفى نشأت,"ش احمد سعيد, حى الكوثر - عيادة الدينتيستا, الكوثر, الغردقة.",688911
دكتور,عيادة د. اسلام الكومى ماجستير سمنة ونحافة,"662 ج طريق الحرية, جناكليس, الاسكندرية.",520907
دكتور,المركز البريطانى لطب الاسنان,"9 ش الامراء, فيصل, الجيزة.",689105
دكتور,عيادة أ. د. احمد حسن والى - استشارى جراحات الركبة والمفاصل الصناعية,"31, ميدان فيكتور عمانويل, سموحة, الاسكندرية.",231087
دكتور,أ.د. حنان اسماعيل - عيادة تقويم اسنان,"394 طريق الحرية, الدور 1, ابراج الاشراف - برج ب, مصطفى كامل, الاسكندرية.",272763
دكتور,دينتال هاوس,"45 ش 9, تقاطع ش حسنين دسوقى, حدائق المعادى, المعادى, القاهرة.",398598
دكتور,مركز سباين كير مصر للمخ والاعصاب,"برج الرشيدى, الدور 3, الحصرى, المحور المركزى, السادس من اكتوبر, الجيزة.",526262
دكتور,عيادة د. داليا حسن سليمة اخصائية الطب النفسى,"برج سموحة بالاس ش شهيد طيار محمود شكرى - السوبر جيت سابقًا, الدور 2, سموحة, الاسكندرية.",520341
دكتور,عيادة د. طارق نصر الدين يسرى لتقويم وتجميل الاسنان,"456 طريق الحرية, رشدى, الاسكندرية.",522117
دكتور,د. محمد الغريب,"13 ش مصطفى رفعت متفرع من ش عبد الحميد بدوى, مساكن شيراتون, مصر الجديدة, القاهرة.",593339
دكتور,انسيد اوت بيوتى كلينك,"110 ش الميرغنى, الدور 2, مصر الجديدة, القاهرة.",602193
دكتور,جوينت كلينك,"7 ش جامعة الدول العربية, الدور 5, ميدان سفنكس, برج دهبية, المهندسين, الجيزة.",450896
دكتور,د. احمد عبد العزيز تعلب,", محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",463173
دكتور,د. خالد محمد شرف - طبيب الفم و الاسنان,"41 ش الفلكى, ميدان التحرير, وسط البلد, القاهرة.",480788
دكتور,د. ريهام حازم رأفت,"8 ش المهدى بن بركة, متفرع من ش الطيران, الحى السابع, مدينة نصر, القاهرة.",567927
دكتور,د. زكية غورست جورجى,"28 ش محمد تيمور, الشقة 1, سانت فاتيما, ميدان الحجاز, مصر الجديدة, القاهرة.",183197
دكتور,د. سامى رزق الله,"71 ش طومانباى, الزيتون, القاهرة.",590109
دكتور,د. علاء الدين حسين احمد,"21 ش النصر, الدور 2, تقاطع ش 263, المعادى الجديدة, المعادى, القاهرة.",535839
دكتور,د. عمرو الشنشورى,"ش مصطفى كامل الدور 1, السيوف, الاسكندرية.",578793
دكتور,د. محمد ضياء سرحان,"15 ش عمرو, متفرع من ش سوريا,, المهندسين, الجيزة.",183497
دكتور,د. محمد عماد - وايتى,"123 برج الاميرة ديانا - ش حسن المأمون - الدور 6, مدينة نصر, القاهرة.",261532
دكتور,د. مدحت باسم,"67 ش ابو بكر الصديق, الدور 1, ميدان سفير, مصر الجديدة, القاهرة.",594694
دكتور,د. نيرة محمد سيد,"القطعة 165 ش التسعين الشمالى, قطاع 1, التجمع الخامس, القاهرة الجديدة, القاهرة.",569424
دكتور,د. هارفى صموئيل,"3 ش المماليك, روكسى, مصر الجديدة, القاهرة.",233839
دكتور,د. ياسر بدران,"148 أ ش جسر السويس, الالف مسكن, مصر الجديدة, القاهرة.",256268
دكتور,د. يوسف شتا - أ. جراحة العظام والكسور,"عمارة المدينة الطبية مدخل ب - ش احمد شوقي, مصطفى كامل, الاسكندرية.",539906
دكتور,دجلة دنتال سنتر,"24 ش 233, دجلة, المعادى الجديدة, المعادى, القاهرة.",433135
دكتور,ديرماليز كلينيك - د. نورا محمد حماسة,"5 ش عمر بن الخطاب, مساكن شيراتون, مصر الجديدة, القاهرة.",557524
دكتور,دينتيك دينتال سبا,"القطعة 162 ش التسعين الشمالى, التجمع الخامس, القاهرة الجديدة, القاهرة.",607640
دكتور,سكاى دنت لعلاج وتجميل الاسنان,"40 ش قناة السويس - برج القصر, محرم بك, الاسكندرية.",539002
دكتور,علوى دنتال كير - د. حسين محمد علوى,"296 ش جمال عبد الناصر, ميامى, الاسكندرية.",590392
دكتور,عيادات الامل,"6 ش 288 متفرع من ش الجزائر, المعادى الجديدة, المعادى, القاهرة.",599818
دكتور,عيادات د. شريف حنفى حسين,"77 ش عثمان بن عفان, متفرع من ميدان سفير, ميدان سفير, مصر الجديدة, القاهرة.",238237
دكتور,عيادة أ. د. خالد عامر استاذ امراض الكبد والجهاز الهضمى ومناظير الجهاز الهضمى,"54 ش مصطفى كامل, فلمينج, الاسكندرية.",618968
دكتور,عيادة توازن التخصصية - تغذية علاجية وامراض جلدية - د. هالة لطفى,"19 عمارة المدينة المنورة ش الصفا متفرع من شارع ادموند فيرمونت, الدور 1, سموحة, الاسكندرية.",342058
دكتور,عيادة د. اسامة فاروق للعيون,"2 ش شعراوى تقاطع ش ابو قير, لوران, الاسكندرية.",213498
دكتور,عيادة د. حاتم سلام استشارى جراحات ومناظير الكلى والمسالك البولية,"185 عمارات الفرعونية ش احمد شوقى, رشدى, الاسكندرية.",540923
دكتور,عيادة د. سحر عبد الرازق استشارى امراض النساء والتوليد وعلاج العقم,"20 ش مسجد الهداية - عمارة الخليج, الهداية, الاسكندرية.",594199
دكتور,عيادة د. طارق عزيز - استشارى انف واذن وحنجرة,"59 ش سعد زغلول, الدور 2, تقاطع ش شاكور, محطة الرمل, الاسكندرية.",34732
دكتور,عيادة د. عمرو عميرة لطب الاسنان,"80 مساكن الظباط - , مصطفى كامل, الاسكندرية.",602331
دكتور,عيادة د. كرم كليم نجيب,"115 ش شبرا - الدور 2 شقة 5, شبرا, القاهرة.",591050
دكتور,عيادة د. ماهر القمحاوى استشارى جراحة العظام والمفاصل,"1 ش مسجد سيدى بشر, سيدى بشر بحرى, الاسكندرية.",210278
