Category,Name,Address,ID
شنط سفر,الحرمين,"26 ش اسماعيل ابو جبل, السيدة زينب, القاهرة.",98187
شنط سفر,الحرية,"ش وكالة الليمون, الجمرك, الاسكندرية.",30493
شنط سفر,الزمزم,"10 ش المنشية - عزبة الوالدة, حلوان, القاهرة.",395874
شنط سفر,السيد محمد فرج,"11 ش مسجد القروى, المنشية, الاسكندرية.",31827
شنط سفر,المحبة,"15 ش نوبار, المنشية, الاسكندرية.",34169
شنط سفر,المصنع الحديث,"28 ش الشهيد مصطفى حافظ, المنشية, الاسكندرية.",29316
شنط سفر,الورشة الفنية,"15 ش البطريركية اليونانية, محطة الرمل, الاسكندرية.",33647
شنط سفر,امريكان توريستر,"الطريق الدائرى, مدينة المعراج, زهراء المعادى, المعادى, القاهرة.",636869
شنط سفر,اولاد رجب على المنيلى,"13 ش فرنسا, المنشية, الاسكندرية.",200803
شنط سفر,اينو,"6 ش البطريركية اليونانية, محطة الرمل, الاسكندرية.",168517
شنط سفر,ايهاب,"8 ش نظمى بطرس, محطة الرمل, الاسكندرية.",31659
شنط سفر,ثرى ام,"2 أ ميدان باب الشعرية, باب الشعرية, القاهرة.",186223
شنط سفر,جابر مصطفى محمد,"21 ش كنيسة الاقباط, محطة الرمل, الاسكندرية.",31241
شنط سفر,جيهان,"40 ش السوق الفرنساوى, المنشية, الاسكندرية.",30461
شنط سفر,ديلسى,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",138745
شنط سفر,رمسيس للمنتجات الجلدية,"3 ش عدلى, وسط البلد, القاهرة.",7861
شنط سفر,ساسون,"10 ش البطريركية اليونانية, محطة الرمل, الاسكندرية.",31420
شنط سفر,عادل الجريسى,"4 حارة طبوزادة, باب الخلق, القاهرة.",66804
شنط سفر,عزة,"2 ش طلبة العلم, المنشية, الاسكندرية.",34058
شنط سفر,علمكو,"3,4 ممر بهلر - متفرع من ش قصر النيل, وسط البلد, القاهرة.",415858
شنط سفر,كابانا,"76 ش النبى دانيال, محطة الرمل, الاسكندرية.",31613
شنط سفر,كريز,"كم 6 - , طريق الاسكندرية القاهرة الصحراوى, الاسكندرية.",75791
شنط سفر,كوكيت,"8 ش نظمى بطرس, محطة الرمل, الاسكندرية.",32920
شنط سفر,مادونا,"8 ش زنكرول, محطة الرمل, الاسكندرية.",110333
شنط سفر,نحو المجد,"6 ش سوق الكانتو, المنشية, الاسكندرية.",28930
شنط سفر,هاوس اوف سامسونيت,"ش عمر بن الخطاب, مدينة نصر, القاهرة.",185152
