Category,Name,Address,ID
طب نفسى وعلاج الادمان,زمالة المدمنين المجهولين - مصر,"القطعة 9458 ش كريم بنونة, الهضبة العليا, المقطم, القاهرة.",160836
طب نفسى وعلاج الادمان,مستشفى لايف للطب النفسى وعلاج الادمان - د. طارق نصار,"طريق كوبرى الشرقاوية, قولنجيل, المنصورة, الدقهلية.",296489
طب نفسى وعلاج الادمان,مركز سبيل للطب النفسى وعلاج الادمان,"الكيلو 21, العجمى, الاسكندرية.",469515
طب نفسى وعلاج الادمان,عيادة د. مصطفى النحاس للطب النفسى وعلاج الادمان,"50 ش عمر لطفى, كامب شيزار, الاسكندرية.",475732
طب نفسى وعلاج الادمان,عيادة د. داليا حسن سليمة اخصائية الطب النفسى,"برج سموحة بالاس ش شهيد طيار محمود شكرى - السوبر جيت سابقًا, الدور 2, سموحة, الاسكندرية.",520341
طب نفسى وعلاج الادمان,د. يمنى بسيونى فتوح,"4 برج الاسراء - ش محمود فوزى متفرع من ش بورسعيد, سيدى جابر الشيخ, الاسكندرية.",612699
طب نفسى وعلاج الادمان,عيادة د. محمد احمد الجوهرى اخصائى الطب النفسى وامراض المخ والاعصاب,"398 طريق الحرية, الدور 6, مصطفى كامل, الاسكندرية.",614990
طب نفسى وعلاج الادمان,عيادة د. محمد عبد التواب رشوان - اخصائى صحة نفسية,"302 تقسيم القضاه رقم 8 - متفرع من ش مصطفى كامل, سموحة, الاسكندرية.",607331
طب نفسى وعلاج الادمان,عيادة د. مى سعيد شعلة - استشارى امراض المخ والاعصاب والطب النفسى وعلاج الادمان,"105 \ 302 برج فرحان ش بهاء الدين الغتورى, سموحة, الاسكندرية.",528775
طب نفسى وعلاج الادمان,أ. د. ناصر زهران استشارى المخ والاعصاب والطب النفسى وعلاج الادمان,"353 طريق الحرية, سيدى جابر المحطة, الاسكندرية.",596409
طب نفسى وعلاج الادمان,ازاد للاستشارات النفسية,"ش عبد الرحيم عبدالله, المقطم, القاهرة.",665674
طب نفسى وعلاج الادمان,اعادة الحياة,"فيلا 43 - - الحى السادس, مدينة العبور, القليوبية.",564381
طب نفسى وعلاج الادمان,البسمة للتدريب والاستشارات النفسيه - د. نهى على قاسم,"10 ش كلية الطب, محطة الرمل, الاسكندرية.",485379
طب نفسى وعلاج الادمان,الجمعية المصرية لمبادرات المجتمع للتنمية,"., زهراء مدينة نصر, مدينة نصر, القاهرة.",515207
طب نفسى وعلاج الادمان,الحرية لعلاج الادمان,"40 - مدينة عباد الرحمن, القطامية, القاهرة.",375248
طب نفسى وعلاج الادمان,الحرية لعلاج الادمان,"1 ش دار الوسام, كينج مريوط, الاسكندرية.",628597
طب نفسى وعلاج الادمان,الحرية لعلاج الادمان والطب النفسى,"طريق بيت الوادى, وادى النطرون, البحيرة.",668772
طب نفسى وعلاج الادمان,الحياة لعلاج الادمان والطب النفسى,"اول الطريق الزراعى, سموحة الجديدة, خورشيد, الاسكندرية.",444090
طب نفسى وعلاج الادمان,الحياة للمساندة والتعافى,"13 ش ميريت باشا - الدور 3 شقة 15, وسط البلد, القاهرة.",136067
طب نفسى وعلاج الادمان,العيادات التخصصية للطب النفسى - د. جمال محمد فرويز,"22 ش سبيل الخازندار, عباسية, القاهرة.",452913
طب نفسى وعلاج الادمان,المركز الاستشارى للطب النفسى وعلاج الادمان - بداية,"فيلا 116 - ش لافيزون, بولكلى, الاسكندرية.",151423
طب نفسى وعلاج الادمان,المركز الذهبى للطب النفسى,"259 ش بورسعيد, كليوباترا, الاسكندرية.",560355
طب نفسى وعلاج الادمان,المركز العربى للطب النفسى وعلاج الادمان,"16 ش الاسكندر الاكبر, محطة الرمل, الاسكندرية.",161870
طب نفسى وعلاج الادمان,المنتجع الصحى للطب النفسى,"حى البنفسج 2 - التجمع الاول, القاهرة الجديدة, القاهرة.",5120
طب نفسى وعلاج الادمان,باندا لذوى الاحتياجات الخاصة والصحة النفسية,"برج الروان ش جلال حماد, الدور 1, متفرع من ش جمال عبد الناصر, سيدى بشر, الاسكندرية.",551304
طب نفسى وعلاج الادمان,تبطيل للصحة النفسية وعلاج الادمان,"5 ش ابو بكر الصديق متفرع من ش 17, المقطم, القاهرة.",463151
