Category,Name,Address,ID
مزادات,احمد ابراهيم للتثمين,"11 ش عرابى متفرع من ش التوفيقية - الدور 3 شقة 26, وسط البلد, القاهرة.",197253
مزادات,احمد حنفى للتثمين,"2 ش شريف - عمارة اللواء, وسط البلد, القاهرة.",147763
مزادات,اكمل ابو العز للخبرة والتثمين,"الطريق الدائرى - كمباوند اشجار دارنا - عمارة 36, القطامية, القاهرة.",508917
مزادات,الاأونا,"4 ش 155 متفرع من ش 151 - الدور 10, المعادى, القاهرة.",568186
مزادات,الحبشى للعقارات,"22 ش محمود بسيونى, متفرع من ش طلعت حرب, قصر النيل, وسط البلد, القاهرة.",62079
مزادات,الحمدونى للمزادات,"6 ش د. عبد المجيد الزيات, محطة الرمل, الاسكندرية.",204904
مزادات,الخبرة والتثمين والمحاسبة والتقييم,"40 ش شريف, وسط البلد, القاهرة.",8373
مزادات,الخبير محمد طبق,"6 ش باسيلى روفائيل, الزيتون, القاهرة.",2022
مزادات,الصفا للتجارة,"346 برج الشرطة - ش السودان, المهندسين, الجيزة.",94202
مزادات,الطيب,"70 ش عبد المنعم سند, كامب شيزار, الاسكندرية.",41239
مزادات,المجموعة الاستشارية المتكاملة,"5 ش شريف الدور 3, باب اللوق, القاهرة.",626602
مزادات,المصرى المتحد للتوريدات,"5 ش التأمينات الاجتماعية, اخميم, سوهاج.",218529
مزادات,المكتب العربى للخبرة والتقييم,"11 ش عبد المنعم مراد, ارض اللواء, الجيزة.",471442
مزادات,اوزوريس للمزادات,"17 ش شريف, وسط البلد, القاهرة.",133282
مزادات,ايلك ديلز,"42 ش ميشيل باخوم, متفرع من ش مصدق, الدقى, الجيزة.",587706
مزادات,ترسية,"13313 طريق عثمان بن عفان الفرعى, الفلاح, الرياض, المملكة العربية السعودية.",687364
مزادات,خزام جروب,"80 أ ش مصدق, الدقى, الجيزة.",131370
مزادات,رويال للمزادات,"8 ش احمد خشبة, ميدان الحجاز, مصر الجديدة, القاهرة.",192668
مزادات,زا تيندر,"ش ابو السعودى, النزهة الجديدة, القاهرة.",673235
مزادات,ستايل للمزادات,"19 ش حسن منصور, مصر الجديدة, القاهرة.",192921
مزادات,شركة جلوبال ابريزال للتقييم العقارى والالات والمعدات والبضائع,"15 ش الطيران ميدان رابعة, مدينة نصر, القاهرة.",542220
مزادات,صالة الاقبال,"33 ش محمود صدقى, لوران, الاسكندرية.",240187
مزادات,صالة الجمهورية للمزادات,"178 طريق الحرية, الابراهيمية, الاسكندرية.",41428
مزادات,صالة الصديق,"52 ش سيدى جابر, سيدى جابر, الاسكندرية.",236340
مزادات,صالة سيدى بشر,"41 ش محمود صدقى, سيدى بشر, الاسكندرية.",236169
مزادات,صالة مزاد ميامى,"350 ش جمال عبد الناصر, ميامى, الاسكندرية.",35715
مزادات,صالة مصر للمزادات,"3 ش الدلتا, سبورتنج, الاسكندرية.",37150
مزادات,فيلو,"27 برج الاطباء - ش شيكولانى, شبرا, القاهرة.",240686
مزادات,قاعة لورد للمزادات,"20 أ ش المنصور محمد, الزمالك, القاهرة.",17932
مزادات,كاتساروس,"22 ش جواد حسنى, وسط البلد, القاهرة.",8317
مزادات,محمد رشاد,"9 ش شريف, عابدين, القاهرة.",613064
مزادات,مركزالكرنك للمزادات,"39 ش الامام على، متفرع من ش عثمان بن عفان, ميدان الاسماعيلية, مصر الجديدة, القاهرة.",424965
مزادات,مصطفى مختار,"9 ش شريف, عابدين, القاهرة.",537753
مزادات,مكتب ابراهيم حسن,"22 ش خيرت, لاظوغلى, القاهرة.",151678
مزادات,مكتب اسامة يوسف,"115 ش سليم الاول, حلمية الزيتون, القاهرة.",460597
مزادات,مكتب اشرف عزت,"94 عمارات الفسطاط -, الفسطاط, القاهرة.",143602
مزادات,ميجو انفورميشن تكنولوجى,"3 عمارات الصفا والمروة, المريوطية, الهرم, الجيزة.",621282
مزادات,هشام عيسى,"90 د عمارات الاوقاف - ش احمد عرابى - الدور 5 شقة 9, المهندسين, الجيزة.",136430
